,E.name,E.countries,total
14398,GREEN OAK HOLDING INC.,Switzerland,1
14399,COLLEY INTERNATIONAL CORP.,Switzerland,1
14400,IKONOS PROPERTIES S.A.,Luxembourg,4
14401,GLS COMPANY S.A.,Switzerland,1
14402,NERIN INVESTMENTS CORPORATION,Switzerland,1
14403,PROHUNT INC.,Switzerland,1
14404,KENDLER BUSINESS INC.,Switzerland,1
14405,FRIULI INVESTMENT INC.,Venezuela,6
14406,CAMPANIA WEALTH MANAGEMENT CORP.,Switzerland,1
14407,CHARDONNAY PARTNERS S.A.,Panama,4
14408,PERFORMANCE INVESTMENT ASSOCIATES INC.,Switzerland,1
14409,FRANEL BUSINESS CORPORATION,Switzerland,1
14410,MILNER CONSULTANTS CORPORATION,Bahamas,2
14411,ROMANA MARITIME CORP.,Luxembourg,4
14412,INMOBILIARIA HUAYNCA CAPAC SOCIEDAD ANONIMA,Brazil,4
14413,TREGO SERVICES S.A.,Uruguay,4
14414,BERNOULLI INVESTMENT INC.,Switzerland,8
14415,"DESARROLLO ZAVOR, S.A.",Switzerland,8
14416,KRETA MARITIME S.A.,Luxembourg,4
14417,LIGURIA SERVICES CORP.,Luxembourg,4
14418,DA CAPO INCORPORATED,Luxembourg,4
14419,PRISMA HOLDINGS S.A.,Luxembourg,4
14420,VISION FUTURE GLOBAL CORP.,Switzerland,1
14421,REYNOLDS RESEARCH INC.,Luxembourg,4
14422,EASTERLY INC.,Luxembourg,2
14423,WATERBORNE INC.,Luxembourg,2
14424,VIN DE ROCHE INC.,Luxembourg,8
14425,SENTRY OVERSEAS S.A.,Uruguay,4
14426,WORLDWIDE TRAVEL COMPANY S.A.,Switzerland,1
14427,FYSAC CONSULTANTS CORP.,Switzerland,1
14428,FIAMETTA SECURITIES CORPORATION,Switzerland,1
14429,DUNSMORE ASSETS CORP.,Switzerland,1
14430,DUPLEX GAIN INVESTMENTS S.A.,Monaco,1
14431,DUPLEX SUCCESS GROUP CORP.,Switzerland,1
14432,DURA TRADING S.A.,Switzerland,1
14433,ETERNAL FLAME TRADING CORP.,Switzerland,1
14434,BARTCREST HOLDING S.A.,Switzerland,1
14435,LORBRIDGE S.A.,Luxembourg,4
14436,LORHAM CORP.,Luxembourg,4
14437,MONHAM CORP.,Luxembourg,4
14438,PINEFROST GROUP S.A.,Switzerland,1
14439,PENWEST HOLDINGS INC.,Switzerland,1
14440,BUWAN MARKETING CORPORATION,Switzerland,1
14441,INDIGO GLOBAL S.A.,Luxembourg,4
14442,FRONT INVESTMENTS S.A.,Switzerland,1
14443,ISO RESOURCES CORPORATION,Switzerland,2
14444,SUNNYVILLE INC.,Luxembourg,2
14445,SUMMERALL INTERNATIONAL CORP.,Luxembourg,4
14446,DELAMARE HOLDING SERVICES CORPORATION,Portugal,1
14447,SUNGRANGE PROPERTIES S.A.,Panama,4
14448,TRAVOLTA MARITIME S.A.,Panama,4
14449,DOUBLE HILL ASSETS INC.,Switzerland,1
14450,BIRMINGTON RESOURCES S.A.,Switzerland,1
14451,GIFFORD SERVICES S.A.,Switzerland,1
14452,LESCO HOLDINGS S.A.,Luxembourg,4
14453,NORHAM INVESTMENTS CORP.,Luxembourg,4
14454,OSTHAM CORP.,Luxembourg,4
14455,CALAMUS HOLDING S.A.,Luxembourg,4
14456,EVOC S.A.,Luxembourg,4
14457,ANGEYA S.A.,Luxembourg,4
14458,ATRIUM PORTFOLIO S.A.,Luxembourg,4
14459,RELKO ASSET MANAGEMENT S.A.,Luxembourg,4
14460,RED ROSES HOLDING GROUP S.A.,Switzerland,1
14461,ORANJEBOOM INC.,Luxembourg,4
14462,ISCI CONSULTANTS S.A.,Switzerland,2
14463,MANITOBA & CIE. S.A.,Luxembourg,4
14464,MARL EQUITIES S.A.,Switzerland,1
14465,LADDERLY SERVICES INC.,Switzerland,1
14466,DESDEMONE FINANCIAL SERVICES CORP.,Switzerland,1
14467,BERWICK GROUP S.A.,Switzerland,1
14468,ALAMEDA EQUITIES INCORPORATED,Panama,4
14469,TITUS REAL S.A.,Luxembourg,4
14470,TOUCAN PORTFOLIO CORP.,Panama,4
14471,HELEN ASSETS CORPORATION,Bahamas,4
14472,CONSOLINI CORPORATION,Switzerland,1
14473,VOLARE EQUITIES CORPORATION,Luxembourg,4
14474,NORDIC PARTNERS S.A.,Luxembourg,4
14475,DANZING GROUP CORPORATION,Luxembourg,4
14476,YELOWBRICK CORPORATION,Luxembourg,4
14477,PAPILLON BUSINESS CORP.,Luxembourg,4
14478,ONYX CAPITAL MANAGEMENT CORP.,Luxembourg,4
14479,AXION ASSETS CORPORATION,Luxembourg,4
14480,GORMAN GROUP S.A.,Luxembourg,4
14481,DISEN CORP.,Luxembourg,4
14482,ELEMI MANAGEMENT S.A.,Luxembourg,4
14483,AFRICA CAPITAL S.A.,Spain,1
14484,VANCOUVER PROPERTIES S.A.,Luxembourg,4
14485,DDF PORTFOLIO S.A.,Monaco,1
14486,YACHTING & PARTNERS INTERNATIONAL INC.,Panama,4
14487,STOMEAD TRADING CORP.,United Kingdom,5
14488,SMILEY INC.,Luxembourg,4
14489,NIPPON ASSETS S.A.,Luxembourg,4
14490,SODAPOP INC.,Panama,4
14491,DRISCOLL CONSULTING CORP.,Switzerland,1
14492,DALWAY S.A.,Switzerland,1
14493,COMPAÑÍA BEKAR S.A.,Uruguay,4
14494,SASKATOON S.A.,Uruguay,1
14495,OWLBRIDGE S.A.,Panama,4
14496,ONDICO FINANCE INC.,Switzerland,1
14497,CITRON SERVICES S.A.,Uruguay,1
14498,PIPER OVERSEAS INC.,Switzerland,1
14499,FAIRVIEW DEVELOPMENT INC.,Switzerland,1
14500,NETHERBY OVERSEAS S.A.,Switzerland,2
14501,POLSTON HOLDINGS CORP.,Seychelles,1
14502,BALIWICK TRADING CORP.,Panama,2
14503,DORSET GROUP CORPORATION,Switzerland,1
14504,ELLIE SERVICES INC.,Switzerland,1
14505,ALPOT ENTERPRISES INC.,Jersey,1
14506,THE SDC GROUP INC.,Lebanon,10
14507,SERENA REAL ESTATE INC.,Luxembourg,4
14508,MAGNA INTERNATIONAL HOLDINGS & CO. S.A.,Panama,2
14509,JENKINS OVERSEAS INCORPORATED,Switzerland,1
14510,QUICKSILVER SECURITIES INC.,Switzerland,1
14511,SOLYMAR PROPERTY S.A.,United Arab Emirates,1
14512,SCARLA S.A.,Luxembourg,4
14513,KADETT OVERSEAS S.A.,Luxembourg,4
14514,RAMSAY COMPANY S.A.,Cyprus,4
14515,TORRES WORLDWIDE S.A.,Luxembourg,4
14516,HASBORA HOLDING S.A.,Andorra,4
14517,WOODSTAR HOLDINGS S.A.,Bahamas,4
14518,AZARO CAPITAL S.A.,Uruguay,4
14519,HEATHLEY INC.,Luxembourg,2
14520,AZURITE INC.,Luxembourg,2
14521,HTC GROUP CORP.,Switzerland,1
14522,SFBK HOLDING COMPANY S.A.,Luxembourg,4
14523,SANVEN STEEL LATIN AMERICA INC.,Venezuela,4
14524,ACE STAR INTERNATIONAL INC.,Switzerland,1
14525,KINGFORD MANAGEMENT S.A.,Switzerland,2
14526,LAND SHIPPING S.A.,Monaco,1
14527,AYMARA INVESTMENTS GROUP CORP.,Bahamas,6
14528,VALAIS INVESTMENT GLOBAL CORP.,Switzerland,1
14529,ATLANTIS INTERNATIONAL HOLDING INC.,Luxembourg,1
14530,AMBRETTE INC.,Switzerland,8
14531,ITELCO HOLDING CORP.,Switzerland,1
14532,NOVEL CONSULTING S.A.,Andorra,4
14533,NTC FOUNDATIONS S.A.,Bahamas,2
14534,JESCO INVESTMENT INCORPORATED,Luxembourg,4
14535,ERIN RESOURCES S.A.,Gibraltar,1
14536,KOGGI SHIPPING INC.,Lebanon,1
14537,I.T.S. ENTERPRISES LIMITED S.A.,Luxembourg,4
14538,DUNWELL TECHNOLOGIES S.A.,United Arab Emirates,4
14539,ESCORT GROUP INC.,Luxembourg,10
14540,EASTING INCORPORATED,Switzerland,3
14541,MILKYWAY GROUP INC.,Luxembourg,4
14542,CHEVALIER CONSULTANTS S.A.,Luxembourg,4
14543,CALIDOR S.A.,Luxembourg,5
14544,MENJA INC.,Luxembourg,4
14545,URPI PROPERTIES S.A.,Bahamas,4
14546,BENZOE CORP.,Luxembourg,3
14547,CHIRON REAL ESTATE S.A.,Luxembourg,4
14548,RONELL INTERNATIONAL INC.,Ecuador,4
14549,BLACKCROWN TRADING CORP.,United States,7
14550,MAIROSE S.A.,Luxembourg,4
14551,BARGROVE HOLDINGS INC.,Switzerland,2
14552,YAP HOLDINGS INC.,Switzerland,1
14553,BLEITH HOLDINGS INC.,Switzerland,1
14554,DRISCOLL BAY CORPORATION,Switzerland,1
14555,FRANK TRADING CORP.,Switzerland,1
14556,TENCO ASSET PORTFOLIO CORP.,Switzerland,1
14557,VALDAS ENTERPRISES S.A.,Switzerland,1
14558,"HIPOTECARIA EURO-AMERICANA, S.A.",Andorra,4
14559,LUX INVESTMENTS GROUP S.A.,Luxembourg,4
14560,HENDERSON WORLDWIDE S.A.,Switzerland,1
14561,ECOBUNKER TRADING INC.,Monaco,1
14562,SELNOR INVESTMENTS CORP.,Switzerland,1
14563,SEABROOK OVERSEAS S.A.,Switzerland,2
14564,WATERLINE SERVICES INC.,Switzerland,8
14565,CARWRIGHT EQUITIES CORP.,Andorra,4
14566,BANFON INCORPORATED,Switzerland,1
14567,ARISTON TRADERS GROUP CORP.,Monaco,1
14568,DUNWEDGE S.A.,Switzerland,1
14569,ESTIVAL INTERNATIONAL GROUP CORP.,Switzerland,1
14570,ETE INTERNATIONAL ASSETS CORP.,Monaco,1
14571,ETERNAL GAIN INTERNATIONAL CORP.,Switzerland,1
14572,ETERNAL YEAR INTERNATIONAL S.A.,Switzerland,1
14573,GOLDEN BRIDGE GROUP INCORPORATED,United Arab Emirates,4
14574,PERMAN TRADING S.A.,Luxembourg,4
14575,DIOPTAS CORP.,Luxembourg,4
14576,H-J HOLDING INC.,Luxembourg,1
14577,GIUKU S.A.,Luxembourg,4
14578,ZALEZ ASSETS CORP.,Switzerland,1
14579,ARCO TRADING AND MANAGEMENT CORP.,Switzerland,1
14580,KLARAIME HOLDING S.A.,Switzerland,1
14581,VADEN CONSULTANTS S.A.,Bahamas,1
14582,ORUGA INTERNATIONAL INC.,United States,4
14583,GINSWICK CORP.,Luxembourg,4
14584,WENKO ASSETS INC.,Panama,4
14585,AZZORINE INTERNATIONAL S.A.,Switzerland,1
14586,SEYMOUR COMMERCIAL S.A.,Argentina,4
14587,CHAMPION & CIE. S.A.,Luxembourg,4
14588,COAST PARTNERS INC.,Luxembourg,4
14589,REINDEER ASSOCIATES INC.,Luxembourg,4
14590,FUTURE BRIGHT INVESTMENTS S.A.,Switzerland,1
14591,GULLA PROPERTIES CORPORATION,Switzerland,1
14592,SEASON HILL INC.,Hong Kong,1
14593,CDM GLOBAL S.A.,Panama,4
14594,KORNELL CORP.,Panama,4
14595,EMAPHI S.A.,Switzerland,1
14596,ROSATA TRADING INC.,Luxembourg,4
14597,INTERCAMELIA JM CORP.,Andorra,4
14598,INTERCALENDULA JM CORP.,Andorra,4
14599,IVY LANE INCORPORATED,Switzerland,1
14600,BUTTERMILL MANAGEMENT INCORPORATED,Switzerland,1
14601,TREND CAPITAL S.A.,Uruguay,4
14602,MILLIPEDES INC.,Panama,4
14603,SUMMIT CONSULTING INC.,Switzerland,4
14604,MUSTANG SERVICES S.A.,Switzerland,1
14605,INTERBERBERIA JM CORP.,Andorra,4
14606,INTERGIRASOL JM CORP.,Andorra,4
14607,COSMOS BUSINESS CORP.,Luxembourg,4
14608,NORTHCROFT TRADING INC.,Switzerland,1
14609,IOLITH CORP.,Luxembourg,4
14610,MONTBLANC GROUP S.A.,Luxembourg,5
14611,GDP ASSET MANAGEMENT S.A.,Switzerland,1
14612,TEDDY PARTNERS S.A.,Panama,4
14613,GARTINER DEVELOPMENT CORP.,Switzerland,1
14614,SEAFORT CAPITAL S.A.,Uruguay,4
14615,POLKA GROUP CORPORATION,Luxembourg,4
14616,NORTH DRIVE BUSINESS CORP.,Bahamas,4
14617,VINAKOR INVESTMENTS INC.,Switzerland,1
14618,BLUE SEA HOLDINGS S.A.,Switzerland,1
14619,HAMILTON CONSULTING CORP.,Switzerland,4
14620,MORSTON INVESTMENTS CORP.,Ireland,4
14621,SEA JADE TRADING CORP.,Colombia,4
14622,SUNBLAZE CONSULTANTS INC.,Costa Rica,4
14623,HEWITT INTERNATIONAL S.A.,Switzerland,1
14624,MG MANAGEMENT CORP.,Switzerland,1
14625,SENTINEL INTERNATIONAL INC.,Switzerland,1
14626,TARCOM INVESTMENTS S.A.,Switzerland,1
14627,ZACKETT INTERNATIONAL CORP.,Monaco,1
14628,JULIAN DEVELOPMENT CORP.,Monaco,1
14629,NASHVILLE TRADING CORP.,Switzerland,1
14630,DONNELLY VENTURES S.A.,Switzerland,1
14631,YAKARIM S.A.,Switzerland,1
14632,ROCKSTAND HOLDINGS S.A.,Isle of Man,4
14633,JONQUILLE BUSINESS S.A.,Luxembourg,4
14634,JIS FINANCES & CORPORATE SERVICES S.A.,Switzerland,1
14635,FIELDHEAD MANAGEMENT S.A.,Switzerland,1
14636,VALENVALLS CORPORATION CORP.,Switzerland,1
14637,BLUELINE HOLDING GROUP GLOBAL S.A.,Switzerland,1
14638,LA ENCINA CORPORATION AG,Switzerland,1
14639,SUNFIELD ENTERPRISES CORP.,Switzerland,1
14640,KRAKATOW ENTERPRISES S.A.,Panama,4
14641,GECKO TRADING GROUP S.A.,Switzerland,1
14642,SUNRISE CAPITAL S.A.,Uruguay,4
14643,ALASKA BUSINESS CORP.,Luxembourg,4
14644,BUTTERFIELD CONSULTANTS INCORPORATED,United Arab Emirates,1
14645,"INTERNACIONAL DE ENERGIA, S.A.",Venezuela,4
14646,BARRACUDA ASSOCIATES INC.,Luxembourg,3
14647,DAVANA S.A.,Luxembourg,4
14648,FENSAL CORP.,Luxembourg,4
14649,VOLONTIS INC.,Luxembourg,4
14650,NORTH STAR TEAM HOLDING INC.,Luxembourg,1
14651,LEDWELL REAL ESTATE CORP.,Switzerland,1
14652,ALLOWAY INTERNATIONAL CORP.,Switzerland,1
14653,DESTRIP OVERSEAS CORP.,Russia,1
14654,FOSBURY INTERNATIONAL INC.,Bahamas,2
14655,HERRICK BUSINESS CORPORATION,Switzerland,1
14656,OLMAND TRADING CORP.,Monaco,1
14657,JAGIP INVESTMENTS S.A.,Liechtenstein,2
14658,YOUNGWILL GROUP INC.,Brazil,1
14659,SAUNDERS INC.,Luxembourg,4
14660,SIRAH SECURITIES S.A.,Monaco,2
14661,GEB HOLDINGS S.A.,Switzerland,1
14662,FORWORTH ENTERPRISES CORP.,Switzerland,1
14663,NASHVILLE INTERNATIONAL GROUP INC.,Brazil,4
14664,FORTUNATE INVESTMENTS GROUP S.A.,Switzerland,2
14665,TEMPLETON SERVICES INC.,Switzerland,2
14666,RYEDALE FINANCE INC.,Switzerland,1
14667,MACLEAN HOLDING S.A.,Switzerland,1
14668,OTUR S.A.,Luxembourg,4
14669,XENON PORTFOLIO S.A.,Luxembourg,4
14670,GIADA ASSOCIATED INC.,Switzerland,1
14671,FLORA CAPITAL S.A.,Switzerland,2
14672,MARBLE BUSINESS INC.,Luxembourg,4
14673,ROMSDALE INC.,Luxembourg,2
14674,SEAGARTH INC.,Luxembourg,2
14675,COBRAZIL INTERNATIONAL CORP.,Portugal,1
14676,CAPITAL STRUCTURES INC.,United Arab Emirates,1
14677,HISPANO INTERNATIONAL S.A.,Bahamas,4
14678,KENWOOD ASSOCIATES S.A.,Switzerland,1
14679,LAREMY GLOBAL CORP.,Luxembourg,4
14680,MOTOFIN INVESTMENTS S.A.,Luxembourg,5
14681,DICAPRIO ASSETS INC.,Luxembourg,4
14682,REDFORD CORPORATION,Spain,1
14683,REGENT INTERNATIONAL INVESTMENTS S.A.,Switzerland,1
14684,SUNBLAZE INVESTMENT S.A.,Switzerland,1
14685,LINA HOLDING INCORPORATED,Luxembourg,4
14686,PALIA CORP.,Luxembourg,4
14687,ENDROS S.A.,Luxembourg,5
14688,GOODMAN CONSULTING S.A.,Luxembourg,4
14689,WEDGWOOD INTERNATIONAL INC.,Switzerland,2
14690,XTREME GROUP CORP.,Lebanon,5
14691,COTTINGS S.A.,Luxembourg,4
14692,KENWAY CONSULTING INC.,Panama,6
14693,ECHOPHON S.A.,Panama,4
14694,NAXOS PROPERTIES S.A.,Luxembourg,4
14695,BRAGI CORP.,Switzerland,4
14696,TRINITY & PARTNERS CO. INC.,Bahamas,4
14697,NEWTON LIMITED S.A.,Malta,2
14698,PETRA PORTFOLIO MANAGEMENT S.A.,Switzerland,1
14699,SEDGVILLE INC.,Luxembourg,2
14700,S & F HOLDING LTD. INC.,Switzerland,1
14701,ETERNAL LANE HOLDINGS S.A.,Switzerland,1
14702,CONSORTIUM HOLDINGS BUSINESS S.A.,Switzerland,1
14703,CONSTABLE INTERNATIONAL S.A.,Switzerland,1
14704,ARISSON GROUP CORP.,Switzerland,1
14705,DUNSTAN DEVELOPMENT S.A.,Switzerland,1
14706,DURIDGEBAY S.A.,Switzerland,1
14707,ETCO TRADING CORPORATION,Switzerland,3
14708,DUNURE INTERNATIONAL CORP.,Monaco,1
14709,FIBA TRADING S.A.,Monaco,1
14710,BANWICK & ASSOCIATES INC.,Switzerland,1
14711,DANLOW PROPERTIES INC.,Spain,1
14712,CAPITAL MARKETS ADVISORS INC.,Portugal,2
14713,SUMMERGATE INC.,Luxembourg,2
14714,ROMER INC.,Luxembourg,2
14715,SERVILEX INC.,Germany,3
14716,HERON MANAGEMENT S.A.,Switzerland,2
14717,HILLIER TRADING CORPORATION,Switzerland,2
14718,NORDEN BUSINESS INC.,Brazil,3
14719,BRIGHT LIGHT INC.,Bahamas,4
14720,ALPROF INTERNATIONAL S.A.,Switzerland,1
14721,AGEM HOLDINGS INC.,Switzerland,1
14722,COMPTON OVERSEAS EQUITIES CORP.,Switzerland,1
14723,BARTA PORTFOLIO INCORPORATED,Monaco,1
14724,BART CENTURY CORPORATION,Switzerland,1
14725,ESTORIL CONSULTANTS INC.,Switzerland,1
14726,ESTRACO CORPORATION,Switzerland,1
14727,DURLESTON CONSULTANTS INCORPORATED,Switzerland,1
14728,ETANYS BUSINESS S.A.,Monaco,1
14729,SONUN MANAGEMENT S.A.,Switzerland,1
14730,HAKORIS INC.,Panama,4
14731,TIBERIUS PORTFOLIO S.A.,Luxembourg,4
14732,VECTRA CONSULTING INC.,Luxembourg,4
14733,CARABAN ASSETS INC.,Luxembourg,5
14734,THORNE HOLDING INC.,Panama,4
14735,EXTRA ASSET MANAGEMENT S.A.,Monaco,1
14736,VALFA HOLDING S.A.,Luxembourg,4
14737,COFINARTE S.A.,Switzerland,1
14738,LOGINVEST TRADING S.A.,Panama,4
14739,CEREALS & VEGETABLE OILS TRADING CORPORATION,Switzerland,3
14740,PROHOME INC.,Ecuador,3
14741,ANHEIM CORP.,Luxembourg,4
14742,BETA WORLDWIDE S.A.,Luxembourg,4
14743,FALTON S.A.,Panama,4
14744,GANESH ENTERPRISES S.A.,Jordan,4
14745,ITELSA CORPORATION,Jordan,5
14746,COY S.A.,Luxembourg,4
14747,CONTRAIL INC.,Luxembourg,2
14748,LION HOLDINGS CORP.,Brazil,1
14749,V INTERNET SERVICES INC.,Brazil,2
14750,MADISON MARINE CORPORATION,Switzerland,1
14751,LANEBURG COMPANY INC.,Switzerland,1
14752,TENGO CONSULTANTS INVEST S.A.,Switzerland,1
14753,TENBA INVESTMENT GROUP S.A.,Switzerland,1
14754,ROSEVIEW MANAGEMENT S.A.,Switzerland,1
14755,SELECT HOLDING SERVICES CORP.,Switzerland,1
14756,MAVI INTERNATIONAL INVESTMENT S.A.,Switzerland,1
14757,FIELDWEST ASSET INC.,Switzerland,1
14758,MONASTERIO S.A.,Switzerland,1
14759,ESCO SERVICES CORP.,Switzerland,1
14760,VALIANT INTERNATIONAL INC.,Luxembourg,4
14761,DARMAINE INVESTMENTS CORP.,Luxembourg,5
14762,BEAVERLODGE PROMOTIONS INC.,Jersey,2
14763,AUDLEY CAPITAL INC.,Switzerland,1
14764,GOLDFINGER INVESTMENT CORP.,Switzerland,1
14765,BARLOW CONSULTANTS CORP.,Monaco,1
14766,BETTON CAPITAL GLOBAL INC.,Switzerland,1
14767,MF LC - MF COMPANY INFORMATION & REGISTRATION LIMITED CORP.,Switzerland,5
14768,THE LUCKY STAR HOLDING COMPANY INC.,Switzerland,2
14769,CANBY BUSINESS CORPORATION,Andorra,5
14770,DREW INDUSTRIES CORP.,Switzerland,1
14771,DREX TECHNOLOGIES INC.,Switzerland,1
14772,VALEMONT CORPORATION,Switzerland,1
14773,ART SOCIETY INC.,Luxembourg,4
14774,MMUS BROS S.A.,Switzerland,4
14775,VALIANT GROUP S.A.,Luxembourg,4
14776,SELMA MANAGEMENT INC.,Luxembourg,10
14777,GIRNWOOD GROUP INC.,Andorra,4
14778,SACRAMENTO ASSOCIATE INC.,Andorra,4
14779,GIBSEN CORP.,Panama,4
14780,TOK S.A.,Luxembourg,10
14781,RONDALLA S.A.,Luxembourg,4
14782,TENFORD CORP.,Luxembourg,4
14783,M C B SERVICE SECURITE S.A.,Luxembourg,4
14784,MAKRIA HOLDING INC.,Panama,1
14785,RAMESSES INC.,Luxembourg,4
14786,GANESTA OVERSEAS CORP.,Andorra,4
14787,BELLING S.A.,Andorra,4
14788,ABE HOLDINGS LTD. S.A.,Switzerland,1
14789,FLANNELLY CAPITAL OVERSEAS S.A.,Andorra,4
14790,GLASBOW RESOURCES S.A.,Andorra,4
14791,ALTAVERA INVERSIONES S.A.,Andorra,4
14792,SERVICIOS GARUA S.A.,Andorra,4
14793,DONNELLY FINANCE S.A.,Switzerland,1
14794,RAYNER INTERNATIONAL INC.,Monaco,1
14795,JERSEY SHIPPING GROUP S.A.,Panama,4
14796,PENWAY INC.,Panama,4
14797,DOGANUSA CORPORATION,Switzerland,1
14798,PEARL GALLARIES CORP.,Monaco,1
14799,SICOM TRADING CORP.,Switzerland,2
14800,H.A.N.I.F. GLOBAL INC.,Panama,1
14801,MAJESTIC FIELDS S.A.,Luxembourg,4
14802,ORWELL GLOBAL CORP.,Bahamas,2
14803,WANDOS S.A.,Luxembourg,4
14804,HEMINGWAY INTERNATIONAL GROUP INC.,Monaco,1
14805,CRYSTAL PALACE HOLDINGS S.A.,Switzerland,1
14806,KAM FUNG HOLDINGS INCORPORATED,Switzerland,10
14807,NEYTEX COMPANY INC.,Switzerland,1
14808,BARFIELD PROPERTIES CORP.,Monaco,1
14809,ULCAN INCORPORATED,Switzerland,1
14810,BARBET COMPAGNIE S.A.,Switzerland,2
14811,VALEN INVESTMENT INC.,Switzerland,1
14812,ARENSON COMPANY S.A.,Liechtenstein,4
14813,"LIMEHOUSE CAPITAL, S.A.",Switzerland,1
14814,CHARTERHALL CORPORATION,Switzerland,1
14815,BAYSEL INVEST S.A.,Panama,4
14816,HUBBLE SECURITIES S.A.,Luxembourg,4
14817,YELLOWSUB COMPANY S.A.,Switzerland,1
14818,BUXTON EQUITIES INCORPORATION,Switzerland,1
14819,KELSEY CONSULTANTS S.A.,Switzerland,1
14820,KANAWA INTERNATIONAL CORP.,Switzerland,1
14821,ALTAVERA ASOCIADOS S.A.,Andorra,4
14822,LASTRE ASOCIADOS S.A.,Andorra,4
14823,COMPAÑÍA MACORIS S.A.,Andorra,4
14824,FYNALIST S.A.,Switzerland,1
14825,CONSOLIDATED PROPERTIES COMPANY S.A.,Switzerland,1
14826,DUNNING PORTFOLIO ADVISORS S.A.,Switzerland,1
14827,ARISE REGENT S.A.,Switzerland,1
14828,DUPONT TRADING ASSET INC.,Monaco,1
14829,SABRE CAPITAL INC.,Switzerland,1
14830,ADIEMO S.A.,Luxembourg,4
14831,PROMANAGEMENT S.A.,Switzerland,1
14832,BARHAM INVESTMENT GROUP CORP.,Switzerland,1
14833,SELLETT MARKETING S.A.,Switzerland,1
14834,FIELDCREST MANAGEMENT CORP.,Switzerland,1
14835,YANWILL INTERNATIONAL CORP.,Switzerland,1
14836,OVERSEAS PETROLEUM ASSOCIATES INC.,Switzerland,1
14837,LUCYVE ASSET MANAGEMENT S.A.,Switzerland,2
14838,MERTEC CORP.,Luxembourg,4
14839,ZAVALA CORP.,Luxembourg,4
14840,M & A ESCROW HOLDINGS INC.,Bahamas,2
14841,HARDING ASSETS S.A.,Luxembourg,4
14842,TELFORD & CO. S.A.,Luxembourg,4
14843,NATONA GROUP CORP.,Luxembourg,4
14844,ROMIA INC.,Luxembourg,2
14845,SEAVILLE INC.,Luxembourg,2
14846,BERLEY CAPITAL S.A.,Panama,1
14847,JACKO TRADINGS S.A.,Venezuela,4
14848,KAPROW DEVELOPMENTS INC.,Ecuador,4
14849,CORDREY ASSOCIATES INC.,United Arab Emirates,1
14850,ROYAL INVESTMENT CONSULTANTS S.A.,Brazil,5
14851,LANCER CAPITAL S.A.,Uruguay,4
14852,PALAU PORTFOLIO S.A.,Switzerland,1
14853,SELQUIST INC.,Luxembourg,2
14854,HITOS GROUP S.A.,Luxembourg,4
14855,EROC INVESTMENTS GROUP S.A.,Switzerland,1
14856,DURGEN INCORPORATED,Switzerland,1
14857,DURHAM RESOURCES CORP.,Switzerland,1
14858,DURHAM INTERNATIONAL S.A.,Switzerland,1
14859,ERIN OVERSEAS DEVELOPMENTS CORP.,Switzerland,1
14860,TAPAL HOLDINGS S.A.,Switzerland,1
14861,VALENA CONSULTANTS INC.,Uruguay,1
14862,MAKAM HOLDINGS CORP.,Switzerland,1
14863,INTERCAMPANILLA JM CORP.,Andorra,4
14864,AMIASU LIMITED S.A.,Switzerland,1
14865,ALDOAN GROUP CORP.,Luxembourg,4
14866,LIBRA CONSULTING S.A.,Luxembourg,4
14867,ROSELLINI INTERNATIONAL GROUP COMPANY S.A.,Switzerland,1
14868,P & O GROUP ASSETS CORP.,Luxembourg,3
14869,VALENVALLS INVESTMENT CORPORATION INC.,Switzerland,1
14870,NEXSON CONSULTANTS INCORPORATED,Switzerland,1
14871,VALENSINA CORP.,Switzerland,1
14872,VALENCIA HOLDINGS OVERSEAS CORP.,Switzerland,1
14873,VISADISC PROPERTIES S.A.,Switzerland,1
14874,VALENTINA ENTERPRISES INC.,Switzerland,1
14875,SINEU GROUP CORPORATION,Switzerland,1
14876,ROSEWELL ENTERPRISES S.A.,Luxembourg,4
14877,THE NET - G.D.S.E.S.A. THE NET GLOBAL DISTRIBUTION SERVICES EUROPE S.A.,Luxembourg,4
14878,PARK AVENUE ENGINEERING GROUP CORP.,Portugal,1
14879,RODALE PROPERTIES S.A.,Bahamas,2
14880,STATHNIC S.A.,Switzerland,1
14881,BARES ENTERPRISES S.A.,Luxembourg,3
14882,TEMPLEST ONE CORPORATION,Monaco,1
14883,UBICO ASSOCIATES CORPORATION,Monaco,1
14884,INTERNATIONAL ARTISTS GUILD INC.,Switzerland,1
14885,SYTERO S.A.,Switzerland,1
14886,GPC CAPITAL CORP.,Bahamas,1
14887,GAWING INVESTMENTS S.A.,Switzerland,1
14888,INTERNATIONAL MARKETING COMPANY CORP.,Ecuador,1
14889,APRISCO ASSOCIATES CORP.,Dominican Republic,4
14890,BARFORD INVESTMENTS S.A.,Luxembourg,4
14891,COMSTAR HOLDINGS CORPORATION,Monaco,1
14892,"WHITECHAPEL INVESTMENT GROUP, S.A.",Switzerland,1
14893,COMTECH INDUSTRIES CORP.,Switzerland,1
14894,TECKFORD INVESTMENTS INC.,Switzerland,1
14895,BLUEBELL PROPERTY INVESTMENTS S.A.,Switzerland,1
14896,MYREX COMPANY INCORPORATED,Switzerland,1
14897,QUANTOS ASSETS MANAGEMENT CORP.,Monaco,1
14898,CAMPANIA INDUSTRIES S.A.,Switzerland,1
